JVSITEID;txtMS;dtmPlan;dtmForecast;dtmActual;
JB9340;MS13;2006-09-27;2006-12-11;2006-12-11;
JB9340;MS11;2006-08-04;2006-07-04;2006-07-04;
JB9340;MS18;2006-08-18;2006-08-18;2006-08-18;
JB9340;MS15;2006-10-11;2006-12-12;2006-12-12;
JP9169;MS05;2006-05-11;2007-01-19;2007-01-19;
JS9784;MS05;2006-01-31;2006-01-31;2006-01-31;
JB9240;MS05;2006-07-18;2006-07-05;2006-07-05;
JB9240;MS11;2006-10-05;2006-09-04;2006-09-04;
JB9240;MS18;2006-10-19;2006-09-21;2006-09-21;
JB9240;MS15;2006-11-16;2006-10-24;2006-10-24;
JS9833;MS10;2006-11-20;2007-04-11;2007-04-11;
JS9833;MS11;2006-12-04;2007-04-30;2007-04-30;
JS9822;MS18;2007-03-12;2007-03-23;2007-03-23;
JS9821;MS10;2008-03-28;2009-03-27;2009-03-27;
JS9821;MS13;2008-01-29;2009-10-23;2009-10-23;
JS9821;MS15;2008-02-12;2009-12-04;2009-12-04;
JS9821;MS05;2006-09-01;2006-09-01;2008-04-30;
JS9820;MS15;2007-04-11;2007-04-11;2007-04-11;
JS9818;MS15;2007-06-05;2007-03-27;2007-03-27;
JS9814;MS18;2007-11-02;2007-08-30;2007-08-30;
JS9808;MS18;2007-03-12;2007-06-12;2007-06-12;
JS9807;MS18;2007-03-12;2007-04-18;2007-04-18;
JS9807;MS15;2007-05-17;2007-05-17;2007-05-17;
JS9807;MS10;2007-01-29;2006-12-21;2006-12-21;
JS9823;MS10;2007-10-25;2008-04-21;2008-04-21;
JS9823;MS18;2008-02-01;2008-12-17;2008-12-17;
JS9823;MS05;2006-09-15;2006-09-15;2006-09-15;
JB9374;MS05;2006-08-29;2006-08-18;2006-08-18;
JB9374;MS11;2006-11-30;2006-11-24;2006-11-24;
JB9248;MS13;2007-09-28;2007-10-12;2007-10-12;
JB9248;MS10;2006-11-15;2007-08-17;2007-08-17;
JB9248;MS11;2006-11-30;2007-09-17;2007-09-17;
JB9289;MS05;2006-08-29;2006-08-18;2006-08-18;
JB9289;MS10;2006-11-15;2006-09-19;2006-09-19;
JB9289;MS15;2007-01-11;2006-11-27;2006-11-27;
JA9167;MS13;2007-01-02;2007-02-21;2007-02-21;
JA9167;MS05;2006-09-01;2006-08-25;2006-08-25;
JA9167;MS10;2006-11-20;2006-09-27;2006-09-27;
JA9168;MS13;2006-12-19;2007-02-07;2007-02-07;
JA9169;MS05;2006-09-01;2006-08-25;2006-08-25;
JA9169;MS10;2006-11-06;2006-10-04;2006-10-04;
JA9169;MS18;2006-12-05;2006-11-03;2006-11-03;
JA9170;MS13;2006-12-20;2007-03-14;2007-03-14;
JA9170;MS05;2006-09-04;2006-08-25;2006-08-25;
JA9170;MS10;2006-11-07;2006-11-20;2006-11-20;
JA9170;MS11;2006-11-22;2006-12-05;2006-12-05;
JA9171;MS10;2006-11-20;2006-11-10;2006-11-10;
