jv_site_number,site_name,site_number,wa_status,work_type,program_year_build,pccs_forecast_date,pccs_actual_date,sae_forecast_date,sae_actual_date,cws_forecast_date,cws_actual_date,pc_forecast_date,pc_actual_date,tx_forecast_date,tx_actual_date,op_rfi_forecast_date,op_rfi_actual_date,WA_ID,equip_forecast_date,equip_actual_date
JS6124,Castle Hill Technology Centre -O,S0700,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102098
JS6126,Prospect2 -O,S1133,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102099
JS6130,Wahroonga F3 -O,S1411,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102100
JS6131,RAYMOND STREET -O,S1413,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102101
JS6132,Oxford Falls -O,S0272,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102102
JS6134,Huntingwood North -O,S1891,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102103
JS6135,Cronulla South -O,S1908,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102104
JS6138,Rookwood -O,S0704,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102891
JS6141,Picnic Point -O,S5754,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102105
JS6143,Blakehurst -O,S5755,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102106
JS6144,Parramatta Gasworks -O,S0331,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102107
JS6145,Harris Park -O,S1079,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102071
JS6146,Greystanes North -O,S1826,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102072
JS6148,North Mt Kuring-gai -O,S5758,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102073
JS6157,Killara -O,S1075,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102074
JB9471,McDowall -O,B0383,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102012
JB9509,Nathan -O,B0750,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102036
JB9452,Eastern Heights -O,B0048,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102001
JB9483,Ipswich -O,B0504,Current,JV Site Conversion,'11/12',,,,,,,,,,,,,102018
JB9530,North Quay -O,B0364,Current,JV Site Conversion,'11/12',,,09-MAR-11,09-MAR-11,,,01-JUN-11,,,,01-JUN-11,,102046
